SEASON_END_YEAR,TEAM_ABBREVIATION,PLAYERS,TOTAL_MINUTES,TOTAL_GAMES_PLAYER_SUM,AVG_AGE,TOTAL_RAPTOR_WAR,Raptor_O,Raptor_D,RaptorPLUS_MINUS,TSPCT,USGPCT,ASTPCT,TOVPCT,ORBPCT,DRBPCT,TRBPCT,STLPCT,BLKPCT,ORtg,DRtg,2PPCT,3PPCT,FTPCT,3PAr,FTAr,Pace_PLUS_MINUS
2012,POR,18,15967,690,26.722,21.71,0.167,-0.239,-0.095,52.544,19.929,14.079,13.802,5.26,14.546,9.806,1.755,1.553,105.355,106.623,46.837,24.514,78.047,24.257,26.575,0.048
2012,SAC,15,15914,695,24.4,11.53,-0.287,-1.04,-1.336,50.713,19.91,12.901,12.678,5.8,14.11,9.762,1.783,1.485,104.145,109.898,47.12,21.517,73.808,22.525,26.484,0.031
2012,SAS,21,15940,731,26.952,37.79,1.406,0.518,1.912,56.4,19.919,15.061,12.27,5.017,15.203,10.215,1.598,1.316,111.729,103.387,49.992,27.275,74.685,28.497,25.374,-0.077
2012,TOR,18,15967,701,26.778,14.41,-0.808,-0.162,-0.989,51.852,19.861,15.195,15.03,5.177,15.072,10.171,1.437,1.639,101.581,104.488,46.808,26.923,74.854,18.912,27.136,0.226
2012,UTA,15,16166,717,26.133,24.63,0.417,-0.178,0.237,52.377,19.899,14.012,13.386,6.045,14.765,10.365,1.76,1.907,107.099,106.234,47.838,24.739,75.626,17.696,31.039,-0.019
2012,WAS,21,15866,706,26.048,11.36,-0.782,-0.561,-1.354,51.002,19.869,13.187,13.683,5.469,14.162,9.773,1.729,2.017,101.346,106.504,46.907,22.056,70.78,18.652,24.876,0.201
2013,ATL,18,19854,852,26.889,27.8,-0.216,0.2,-0.002,54.839,19.887,16.534,13.443,4.436,14.739,9.65,1.73,1.433,106.074,104.55,49.046,33.623,73.13,31.574,24.214,-0.04
2013,BOS,20,19843,828,27.45,26.62,-0.602,0.474,-0.115,54.417,19.851,15.557,13.575,4.007,14.651,9.489,1.749,1.454,104.226,103.503,49.473,25.57,78.038,20.408,27.319,0.058
2013,BRK,17,19854,914,27.529,31.56,0.505,-0.149,0.369,52.963,19.842,14.383,14.023,6.189,14.741,10.424,1.619,1.5,108.003,106.333,48.152,23.952,73.197,28.372,33.121,-0.075
2013,CHA,18,19805,853,26.222,2.81,-1.033,-1.419,-2.458,50.134,19.836,14.616,12.862,5.15,14.221,9.563,1.557,1.956,101.814,111.836,45.084,23.833,71.286,17.971,31.979,-0.06
2013,CHI,15,19831,809,28.0,27.8,-0.458,0.477,0.029,51.219,19.872,16.179,13.18,5.871,14.708,10.246,1.598,1.584,104.615,103.336,45.04,22.441,76.871,19.041,27.363,-0.145
2013,CLE,19,19730,827,24.947,14.67,-0.377,-0.91,-1.297,50.928,19.892,14.388,12.697,5.624,14.529,9.878,1.702,1.361,104.352,109.54,45.462,21.047,74.809,21.936,26.423,0.118
2013,DAL,23,19980,923,28.609,27.3,0.011,-0.088,-0.063,54.069,19.919,14.859,12.658,4.349,14.628,9.583,1.664,1.773,105.986,106.678,47.943,27.635,78.33,24.032,25.016,-0.055
2013,DEN,15,19906,840,24.733,41.92,1.042,0.317,1.389,55.105,19.897,14.837,13.317,6.266,14.368,10.389,1.921,2.086,111.434,105.258,51.359,30.276,69.055,20.191,31.158,-0.054
2013,DET,16,19806,837,25.875,16.43,-0.506,-0.618,-1.122,52.267,19.9,14.832,13.534,5.652,14.592,10.051,1.536,1.601,104.302,108.438,47.182,28.17,71.59,21.365,28.502,0.061
2013,GSW,16,19806,913,25.125,30.89,0.128,0.194,0.316,53.518,19.936,15.211,14.476,5.07,15.103,10.247,1.449,1.368,106.061,105.45,46.673,31.554,77.548,21.112,28.037,-0.089
2013,HOU,20,19781,837,24.3,37.31,0.862,0.06,0.943,56.233,19.897,15.305,14.322,5.281,15.026,10.214,1.713,1.384,110.059,106.399,50.899,28.855,74.089,32.967,30.506,0.31
2013,IND,16,19590,875,25.812,36.84,-0.278,1.233,0.96,52.032,19.894,14.499,13.921,6.054,14.921,10.552,1.573,1.94,105.352,99.893,45.956,27.293,74.784,25.571,30.276,-0.039
2013,LAC,15,19730,880,29.133,45.05,1.117,0.623,1.728,55.301,19.842,15.787,13.545,5.769,14.71,10.312,2.098,1.969,110.39,103.727,51.987,26.536,70.372,24.782,30.198,0.095
2013,LAL,16,19757,765,28.25,31.45,0.403,-0.049,0.383,54.447,19.939,15.221,13.776,5.386,14.857,10.241,1.487,1.567,108.249,106.649,49.056,31.484,72.223,32.072,33.484,-0.084
2013,MEM,20,19807,838,25.5,39.52,-0.118,1.281,1.162,51.628,19.855,14.463,12.536,6.184,14.854,10.438,1.931,1.811,106.21,100.508,46.443,24.006,76.782,17.299,26.235,0.076
2013,MIA,18,19881,890,29.778,47.24,1.445,0.492,1.922,58.072,19.872,15.909,13.36,4.449,14.609,9.822,1.877,1.823,112.776,103.879,50.304,33.643,75.246,31.956,27.669,-0.087
2013,MIL,18,19828,858,26.722,23.13,-0.496,0.026,-0.461,50.969,19.924,15.222,12.348,5.58,14.261,9.766,1.754,2.044,104.336,105.348,45.477,29.937,72.974,21.797,24.195,-0.122
2013,MIN,19,19730,817,26.737,22.58,-0.623,0.121,-0.51,51.799,19.862,15.44,13.22,5.472,14.797,9.979,1.833,1.529,103.68,105.543,47.86,21.728,74.534,21.177,30.61,-0.059
2013,NOH,19,19782,889,24.737,18.48,-0.053,-0.87,-0.915,52.454,19.821,14.677,13.593,5.853,14.879,10.299,1.414,1.861,106.202,110.157,46.566,23.756,78.493,21.063,25.4,-0.091
2013,NYK,19,19731,855,31.316,38.35,1.167,-0.093,1.074,55.371,19.899,13.174,12.037,5.115,14.956,9.86,1.821,1.286,112.924,106.362,48.031,31.763,75.862,37.573,25.696,0.123
2013,OKC,16,19831,884,25.75,52.1,1.506,0.874,2.42,57.607,19.904,14.765,14.636,5.33,14.682,10.365,1.76,2.387,113.15,102.648,51.64,28.216,78.657,23.428,30.962,-0.08
2013,ORL,18,19779,846,25.278,8.89,-1.029,-0.836,-1.872,51.265,19.896,15.057,13.312,5.062,14.918,9.997,1.396,1.396,101.727,109.277,47.835,22.121,74.309,21.982,19.829,0.14
2013,PHI,17,19755,811,25.529,18.22,-0.861,-0.08,-0.933,51.016,19.904,15.462,11.721,4.974,14.668,9.704,1.633,1.517,103.193,105.844,46.193,28.133,71.577,20.831,20.172,-0.182
2013,PHO,16,19805,868,26.25,12.13,-1.051,-0.502,-1.547,51.386,19.878,15.088,13.918,5.401,14.393,9.785,1.725,1.638,102.054,108.299,47.381,26.061,73.614,21.59,23.483,0.039
2013,POR,15,19857,865,25.0,20.61,-0.057,-0.641,-0.716,53.265,19.903,14.901,13.795,5.062,14.666,9.793,1.431,1.358,105.27,109.498,47.788,26.493,75.318,29.566,24.923,-0.068
2013,SAC,17,19831,891,25.412,16.29,0.016,-1.162,-1.149,52.748,19.888,13.893,13.0,5.315,14.192,9.641,1.723,1.354,106.473,111.715,46.942,25.072,76.701,23.767,26.164,0.174
2013,SAS,16,19880,925,27.562,45.07,0.641,1.075,1.732,57.045,19.908,16.424,13.603,4.101,14.967,9.854,1.781,1.625,108.898,101.78,51.725,30.767,79.004,28.12,25.147,-0.182
2013,TOR,18,19979,841,26.0,23.14,-0.039,-0.463,-0.492,53.649,19.911,14.753,13.063,5.103,14.68,9.812,1.579,1.568,106.616,107.729,47.783,27.755,77.231,23.008,28.526,0.255
2013,UTA,14,19881,874,26.0,28.45,0.183,-0.119,0.053,52.731,19.898,14.981,14.156,5.762,14.64,10.145,1.832,2.03,106.631,107.01,46.314,31.851,76.535,22.902,28.077,-0.03
2013,WAS,19,19856,852,26.211,20.32,-1.222,0.48,-0.746,51.025,19.915,15.491,13.853,4.921,14.917,9.869,1.555,1.507,100.369,103.15,45.125,21.608,72.275,22.995,25.944,0.044
2014,ATL,18,19831,834,26.111,25.26,-0.224,-0.033,-0.255,55.719,19.853,16.806,13.681,4.187,14.872,9.575,1.729,1.295,106.834,106.701,49.952,31.946,78.589,33.15,25.777,0.22
2014,BOS,19,19728,841,25.684,15.83,-0.873,-0.302,-1.176,51.555,19.823,14.186,13.973,5.471,14.84,10.032,1.525,1.343,103.394,107.894,46.98,30.475,75.887,25.519,25.655,-0.016
2014,BRK,19,19880,892,28.842,24.4,-0.062,-0.286,-0.348,55.251,19.887,14.631,13.965,4.355,14.455,9.423,1.874,1.302,106.71,107.898,49.237,26.763,75.892,28.109,33.846,-0.239
